City,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,languyan,5.2618,120.0807,86.18,64,98,2.19,PH,1630654068
1,kamaishi,39.2667,141.8833,76.15,70,100,6.4,JP,1630654069
2,guozhen,34.3659,107.359,73.33,94,100,6.04,CN,1630654070
3,vila velha,-20.3297,-40.2925,66.15,94,75,2.3,BR,1630654070
4,saint-pierre,-21.3393,55.4781,76.68,59,3,29.93,RE,1630654071
5,margate,51.3813,1.3862,62.31,91,1,13.42,GB,1630654072
6,oktyabrskoye,43.0645,44.7417,57.34,94,90,6.71,RU,1630654072
7,albany,42.6001,-73.9662,57.61,80,98,5.77,US,1630654021
8,naivasha,-0.7167,36.4359,60.1,66,49,9.37,KE,1630654074
9,bredasdorp,-34.5322,20.0403,60.28,55,20,9.22,ZA,1630654074
10,saint george,37.1041,-113.5841,81.19,41,1,1.99,US,1630653826
11,fairbanks,64.8378,-147.7164,57.31,86,90,3.44,US,1630654075
12,busselton,-33.65,115.3333,59.04,57,61,5.08,AU,1630654076
13,evanston,42.0411,-87.6901,69.1,79,75,5.75,US,1630654077
14,revda,56.801,59.9303,65.21,52,100,6.02,RU,1630654078
15,hermanus,-34.4187,19.2345,60.8,73,14,16.53,ZA,1630654078
16,cairns,-16.9167,145.7667,78.75,68,40,17.27,AU,1630654079
17,llanes,43.4198,-4.7549,67.86,87,100,9.78,ES,1630654080
18,jamestown,42.097,-79.2353,55.51,94,90,1.01,US,1630653835
19,axim,4.8699,-2.2405,76.14,90,99,11.92,GH,1630654081
20,punta arenas,-53.15,-70.9167,41.11,81,0,6.91,CL,1630654081
21,taltal,-25.4,-70.4833,56.16,83,32,1.01,CL,1630654082
22,pangkalanbuun,-2.6833,111.6167,80.01,84,89,4.68,ID,1630654083
23,chunskiy,56.0815,99.6342,58.69,36,76,6.38,RU,1630654083
24,cherskiy,68.75,161.3,49.21,50,100,3.58,RU,1630654084
25,hilo,19.7297,-155.09,74.93,90,90,3.44,US,1630653889
26,waingapu,-9.6567,120.2641,86.09,60,100,10.98,ID,1630654085
27,bethel,41.3712,-73.414,59.58,85,1,4.61,US,1630654000
28,fort nelson,58.8053,-122.7002,49.59,81,20,2.3,CA,1630654087
29,pacific grove,36.6177,-121.9166,59.43,84,79,1.99,US,1630654087
30,ushuaia,-54.8,-68.3,46.06,57,40,8.05,AR,1630653922
31,port alfred,-33.5906,26.891,65.32,70,67,25.19,ZA,1630654088
32,bluff,-46.6,168.3333,52.99,71,95,10.98,NZ,1630654089
33,bengkulu,-3.8004,102.2655,84.07,69,53,14.47,ID,1630654090
34,saint-philippe,-21.3585,55.7679,76.59,69,14,12.8,RE,1630654091
35,puerto carreno,6.189,-67.4859,74.66,92,100,2.89,CO,1630654092
36,ribeira grande,38.5167,-28.7,70.2,88,75,1.14,PT,1630654092
37,norman wells,65.282,-126.8329,59.04,77,75,6.91,CA,1630654093
38,puerto ayora,-0.7393,-90.3518,69.55,87,69,4.0,EC,1630654094
39,rikitea,-23.1203,-134.9692,73.85,76,100,18.7,PF,1630654094
40,samarai,-10.6167,150.6667,79.29,77,28,15.7,PG,1630654096
41,kodiak,57.79,-152.4072,54.91,88,90,8.05,US,1630654096
42,sitka,57.0531,-135.33,60.69,72,90,3.44,US,1630654097
43,mayo,38.8876,-76.5119,65.55,83,0,4.0,US,1630654098
44,linxia,35.6003,103.2064,62.19,75,100,3.44,CN,1630654098
45,burgeo,47.6167,-57.6152,63.79,97,100,23.04,CA,1630654099
46,mataura,-46.1927,168.8643,46.96,83,99,2.3,NZ,1630654100
47,ponta do sol,32.6667,-17.1,76.01,81,47,2.62,PT,1630654100
48,songjianghe,42.1859,127.479,75.45,39,23,5.5,CN,1630654101
49,riyadh,24.6877,46.7219,102.34,12,0,2.3,SA,1630653840
50,masinigudi,11.5667,76.6667,69.42,89,100,4.0,IN,1630654103
51,vaini,-21.2,-175.2,68.16,94,90,9.22,TO,1630654103
52,kavieng,-2.5744,150.7967,83.64,71,44,8.88,PG,1630654104
53,neuquen,-38.9516,-68.0591,46.29,93,75,3.44,AR,1630654105
54,dawson,31.7735,-84.4466,74.89,74,0,7.56,US,1630654105
55,manzil salim,35.8567,8.4765,78.8,44,43,4.81,TN,1630654106
56,santa isabel,-23.3156,-46.2214,65.98,79,9,2.42,BR,1630654107
57,tambovka,50.0969,128.0489,78.91,57,11,5.97,RU,1630654107
58,butaritari,3.0707,172.7902,82.71,65,9,11.1,KI,1630654108
59,alikalia,9.1667,-11.4,67.37,100,76,1.7,SL,1630654110
60,qaanaaq,77.484,-69.3632,30.88,64,100,10.56,GL,1630654110
61,fallon,39.4735,-118.7774,68.27,14,40,3.44,US,1630654111
62,mpika,-11.8343,31.4529,71.82,37,22,14.63,ZM,1630654112
63,hithadhoo,-0.6,73.0833,82.8,67,52,6.93,MV,1630654112
64,gonbad-e qabus,37.25,55.1672,94.15,41,41,19.08,IR,1630654113
65,kholodnyy,62.7167,147.95,67.53,38,30,9.55,RU,1630654114
